sanskrit_root,pie_root,iecor_pie_root,set,pie_ends_with_laryngeal,gemini_pie_root,gemini_best_guess,wiktionary_pie_roots,wiktionary_pii_roots,wiktionary_status
शश्,,,Y,N,*ses-,Y,*ḱeh₂s-,*ćasás,ok
शस्,,*ses-,Y,N,*kʷes-,Y,,,missingtitle
शंस्,,,Y,N,*ḱens-,,*ḱens-,,ok
चह्,,,Y,Y,*kʷeh₂-,N,,,missingtitle
मह्,,,Y,N,*meǵʰ-,,*méǵh₂s; *megʰ-,,ok
रह्,,,Y,N,*regʷh-,N,*legʰ-,,ok
रंह्,,,Y,N,*renǵʰ-,Y,*h₁lengʷʰ-,*Hranźʰ-; *Hranǰʰ-,ok
दृह्,,,Y,N,*dʰreǵʰ-,,*dʰerǵʰ-,*dʰarjʰ,ok
दृंह्,,,Y,N,*dʰrenǵʰ-,,,,missingtitle
बृह्,,,N,N,*bʰerǵʰ-,,*bʰerǵʰ-,*bʰŕ̥ȷ́ʰ-,ok
बृंह्,,,Y,N,*bʰerǵʰ-,,,,missingtitle
तुह्,,,Y,Y,*tewh₂-,Y,,,missingtitle
दुह्,,,N,N,*dʰewǵʰ-,,*dʰewgʰ-,*dʰawgʰ-,ok
उह्,,,Y,N,*h₂weǵʰ-,Y,,,missingtitle
अर्ह्,,,Y,N,*h₂leǵʰ-,,*h₂elgʷʰ-,,ok
द्युत्,,,Y,N,*dyew-,,*dyew-,-,ok
श्वित्,,,Y,N,*ḱweyt-,,*ḱweyt-,,ok
मिद्,,,Y,N,*meyd-,N,,,missingtitle
स्विद्,,,N,N,*sweid-,,*sweyd-,,ok
क्ष्विद्,,,Y,N,*skheid-,Y,,,missingtitle
रुच्,,,Y,N,*lewk-,,*lewk-,*rúkš; *léwks,ok
घुट्,,,Y,N,*gʰewdʰ-,Y,,*gʰarH-,ok
रुट्,,,Y,N,*reud-,Y,,,missingtitle
लुट्,,,Y,Y,*lewH-,Y,,,no_pie_found
लुठ्,,,Y,N,*lewdʰ-,Y,,,no_pie_found
वृह्,,,N,Y,*welH-,,,,missingtitle
शुभ्,,,Y,N,*ḱewbʰ-,,*ḱewbʰ-; *(s)kewh₁-; *ḱew-,*ćawbʰ-,ok
क्षुभ्,,,Y,N,*kʷʰewbʰ-,,,,no_pie_found
नभ्,,,Y,N,*nebʰ-,,*nebh-,,ok
तुभ्,,,Y,N,*teu-,Y,,,missingtitle
स्रंस्,,,Y,N,*srens-,,,,missingtitle
ध्वंस्,,,Y,N,*dheu-,Y,*dʰwe-n-s-; *dʰwes-; *dʰewh₂-,,ok
भ्रंस्,,,Y,N,*bhrens-,,,,missingtitle
भ्रंश्,,,Y,N,*bhrens-,,*bʰrenḱ-,*bʰranś-; *bʰranć-,ok
स्रम्भ्,,,Y,N,*sremb-,Y,,,missingtitle
वृत्,,*u̯ert-,Y,N,*wert-,,*wert-,,ok
वृध्,,,Y,N,*wreǵ- (grow),,*Hwerdʰ-; *h₁lewdʰ-; *h₂welh₁-,*Hwardʰ-; -,ok
शृध्,,,Y,N,*ser-,Y,,,missingtitle
स्यन्द्,,,N,N,*syeu-,,,,missingtitle
कृप्,,,Y,N,*kʷrep-,,*krep-; *kʷrep-,*kŕ̥ps,ok
घट्,,,Y,N,*gʷʰedʰ-,N,,,no_pie_found
व्यथ्,,,Y,Y,*gʷyeh₁-,,,,no_pie_found
प्रथ्,,,Y,N,*pert-,,*pleth₂-,,ok
प्रस्,,,Y,N,*pers-,,,,missingtitle
म्रद्,,,Y,N,*meldʰ-,,,,missingtitle
स्खद्,,,Y,N,*skheid-,,,,missingtitle
क्षञ्ज्,,,Y,N,*ǵens-,Y,,,missingtitle
दक्ष्,,,Y,N,*deḱ-,N,*deḱs-,,ok
कृप्,,,Y,N,*kʷrep-,,*krep-; *kʷrep-,*kŕ̥ps,ok
क्रप्,,,Y,N,*kerp-,Y,,,missingtitle
वृंह्,,,Y,N,*wreǵʰ-,,,,missingtitle
कन्द्,"kand-, skand-, and Indo-Iranian (s)kend-",,Y,N,*kʷend-,Y,*ken-,,ok
क्रन्द्,,,Y,N,*krend-,,*kelh₁-,,ok
क्लन्द्,,,Y,N,*kʷlend-,Y,,,no_pie_found
कद्,kā̆d-,,Y,N,*kwet-,Y,,,no_pie_found
क्रद्,,,Y,N,*kred-,Y,,,missingtitle
क्लद्,,,Y,N,*kleudh-,Y,,,missingtitle
त्वर्,,,Y,N,*twer-,,*(s)twerH-,,ok
ज्वर्,,,Y,N,*gʷʰer-,N,,,no_pie_found
गड्,,,Y,N,*ghedh-,Y,,,no_sanskrit_section
हेड्,,,Y,N,*gʷʰedʰ-,N,*ǵʰeysd-,*źʰáyẓḍas; *ȷ́ʰáyždas,ok
वट्,,,Y,N,*wāt-,Y,,,no_pie_found
भट्,bhāt- : bhət-,,Y,N,*bheidh-,Y,,,no_pie_found
नट्,,,Y,N,*(s)ned-,Y,,,no_pie_found
स्तक्,"stāk-, stek-",,Y,N,*steg-,Y,,,missingtitle
चक्,,,Y,N,*kʷekʷ-,N,,,no_sanskrit_section
कख्,,,Y,N,*kʷekʷ-,Y,,,no_sanskrit_section
रग्,,,Y,N,*reǵ-,N,,,no_sanskrit_section
लग्,,,Y,N,*leg-,N,*(s)leg-,*lagnás,ok
ह्रग्,,,Y,N,*sreg-,Y,,,missingtitle
ह्लग्,,,Y,N,*sleh₂g-,Y,,,missingtitle
सग्,sāg-,,Y,N,*sekʷ-,Y,,,no_sanskrit_section
स्तग्,stag-,,Y,N,*steg-,Y,,,missingtitle
कग्,,,Y,N,*kak-,Y,,,missingtitle
अक्,,,Y,N,*h₂eǵ-,Y,,,no_pie_found
अग्,ag̑-,,Y,N,*h₂egʷʰ-,,,,no_pie_found
कण्,kan-,,Y,N,*kan-,Y,,,no_sanskrit_section
रण्,,,Y,N,*Hren-,Y,,,no_pie_found
चण्,,,Y,N,*skend-,Y,,,no_pie_found
शण्,,,Y,N,*ken-,Y,,,no_pie_found
श्रण्,,,Y,N,*ḱlew-,,,,missingtitle
श्रथ्,,,Y,N,*ser- (to bind,,,,missingtitle
स्थग्,,,Y,N,*stag-,Y,*(s)teg-,,ok
श्लथ्,,,Y,Y,*sleh₁-,N,,,missingtitle
क्नथ्,,,Y,N,*genu-,Y,,,missingtitle
क्रथ्,,,Y,N,*kert-,Y,,,missingtitle
क्लथ्,,,Y,Y,*kleth₂-,Y,,,missingtitle
चन्,,,Y,N,*kʷen-,Y,,,no_pie_found
वन्,,,Y,Y,*wenh₁-,,*wen-; *wenh₁-,*wán-,ok
ज्वल्,,,Y,N,*gʷʰel-,,*ǵwelH-,*ȷ́wal-,ok
ह्वल्,,,Y,Y,*welh₁-,N,,,no_pie_found
ह्मल्,,,Y,-,,Y,,,missingtitle
स्मृ,,,N,N,*smer-,,*(s)mer-,*smar-,ok
दॄ,,,Y,N,*der-,,*der-,*dar-,ok
नॄ,,,Y,N,*h₂ner-,N,,,missingtitle
श्रा,,,N,N,*kʷley-,,,,missingtitle
ज्ञा,,,Y,Y,*ǵneh₃-,,*ǵneh₃-,*ȷ́naH-; *ǰnaH-,ok
चल्,,,Y,N,*kʷel-,N,,,no_pie_found
छद्,,,Y,N,*sked-,,*sḱed-; *(s)ḱeh₃-,*śćad-,ok
लड्,,,Y,-,,Y,,,no_pie_found
मद्,mad-,,Y,N,*med-,,*meh₂d-,,ok
ध्वन्,,,Y,N,dʰwen-,N,*dʰwen-; *dʰwenh₂-,*dʰwan-; *dʰwanH-,ok
शम्,,,Y,N,*ḱem-,,*ḱemh₂-,,ok
यम्,,,Y,N,*yem-,,*yem-,*yam-,ok
स्खद्,,,Y,N,*skheid-,,,,missingtitle
स्वन्,,,Y,N,*swen-,,,,no_pie_found
तृह्,,,Y,Y,*terh₂-,,*(s)terǵʰ,*(s)tarjʰ,ok
तृंह्,,,N,N,*teren-,Y,,,missingtitle
रुङ्ग्,,,Y,N,*lūg-,Y,,,missingtitle
खुण्ड्,,,Y,N,*skend-,Y,,,missingtitle
म्लेड्,,,Y,N,*meldʰ-,Y,,,missingtitle
मेट्,,,Y,N,*med-,N,,,missingtitle
बिड्,,,Y,N,*bheid-,N,,,missingtitle
मक्ष्,,,Y,N,*mag-,Y,,*mákš,ok
वन्,,,Y,Y,*wenh₁-,,*wen-; *wenh₁-,*wán-,ok
वाह्,,,Y,N,*weǵʰ-,,,,no_pie_found
रम्,,,N,N,*rem-,,*h₁rem-,*Hram-,ok
याच्,,,Y,Y,*yeh₁-,,*yek-,,ok
फण्,,,Y,N,*bʰan-,Y,,,no_pie_found
राज्,,,Y,N,*h₃reǵ-,,*h₃rḗǵs,*Hrā́ṭṣ; *Hrā́ćš,ok
भ्राज्,,,Y,N,*bʰl̥ǵ-,,*bʰreh₁ǵ-,,ok
भ्राश्,,,Y,N,*bʰres-,,,,missingtitle
भ्लाश्,,,Y,Y,*bhleh₁-,Y,,,missingtitle
स्यम्,,,Y,N,*sē(i)-,N,,,missingtitle
स्वन्,,,Y,N,*swen-,,,,no_pie_found
ध्वन्,,,Y,N,dʰwen-,N,*dʰwen-; *dʰwenh₂-,*dʰwan-; *dʰwanH-,ok
सम्,,,Y,N,*sem-,,,,no_pie_found
स्तम्,,,Y,N,*stembh-,,,,missingtitle
ज्वल्,,,Y,N,*gʷʰel-,,*ǵwelH-,*ȷ́wal-,ok
चल्,,,Y,N,*kʷel-,N,,,no_pie_found
जल्,,,Y,-,,Y,*gʷelHo-; *gʷel-,,ok
टल्,tāl-,,Y,-,,Y,,,no_pie_found
ट्वल्,,,Y,Y,*telh₂-,Y,,,no_pie_found
स्थल्,,,Y,N,*stel-,Y,,,no_pie_found
हल्,,,Y,Y,*kelh₂-,Y,,,no_pie_found
नल्,,,Y,Y,*nelH-,Y,,,no_pie_found
पल्,,,Y,N,*pel-,Y,,,no_pie_found
बल्,"bal-, balbal-",,Y,N,*bel-,N,,,no_pie_found
पुल्,,,Y,Y,*pelh₂-,N,,,no_pie_found
कुल्,,,Y,N,*kʷel-,Y,,,no_pie_found
शल्,,,Y,N,*skel-,Y,,,missingtitle
हुल्,,,Y,N,*h₂wel-,Y,,,missingtitle
पत्,,*pet-,Y,Y,*peth₂-,,*peth₂-,*patH-,ok
क्षल्,,,Y,N,*skʷel-,N,*dʰgʷʰer-; *kʷsel-,*gẓʰar-; *gžʰar-,ok
क्वथ्,,,Y,N,*kʷetʰ-,,*kweth₂-,,ok
पथ्,,,Y,N,*pent-,,*pent-,*patʰás; *pántaHs,ok
मथ्,,,Y,N,*math-,,*menth₂-; *meth₂-,,ok
वम्,,*u̯emh₁-,Y,Y,*wemh₁-,,*wemh₁-,,ok
भ्रम्,,,Y,N,*bhrem-,,,*bʰramH-; -,ok
क्षर्,,,Y,N,*kʷser-,,,*gẓʰar-,ok
द्वृ,,,N,N,*dʰwer-,,,,missingtitle
सह्,,,Y,N,*seǵʰ-,,*seǵʰ-,*saźʰ-; *saȷ́ʰ-,ok
रम्,,,N,N,*rem-,,*h₁rem-,*Hram-,ok
सद्,,,Y,N,*sed-,,*sed-,,ok
शद्,,,N,N,*sed-,N,,,missingtitle
क्रुश्,k̑rūs-,,N,N,*krew-,,,*krawć-,ok
कुच्,,,Y,N,*kʷekʷ-,Y,,,no_pie_found
बुध्,,,N,N,*bʰeudʰ-,,*bʰewdʰ-,,ok
रुह्,,,N,N,*h₁reǵʰ-,,*h₁lewdʰ-,,ok
कस्,"k̑as-, k̑as-no-",,Y,N,*kʷes-,N,,,no_sanskrit_section
हिक्क्,,,Y,N,*hikkʷ-,Y,,,no_pie_found
अञ्च्,,,Y,N,*h₂enk'-,,*h₂enk-,*Hanč-,ok
अच्,,,Y,N,*h₂eḱ-,N,,,missingtitle
अञ्च्,,,Y,N,*h₂enk'-,,*h₂enk-,*Hanč-,ok
याच्,,,Y,Y,*yeh₁-,,*yek-,,ok
रेट्,"rēt-, rōt-, rət-",,Y,N,*ret-,N,,,no_sanskrit_section
चत्,,,Y,N,*kʷet-,Y,,,missingtitle
चद्,,,Y,N,*sked-,Y,,,missingtitle
प्रोथ्,,,Y,N,*prew-,Y,,,missingtitle
मिद्,,,Y,N,*meyd-,N,,,missingtitle
मेद्,,,Y,N,*mēd-,N,,,no_sanskrit_section
मिथ्,,,Y,Y,*mith₂-,N,*meyth₂-; *mey-,,ok
मेथ्,,,Y,Y,*meth₂-,Y,,,missingtitle
मिध्,,,Y,N,*midʰ-,Y,,,missingtitle
मेध्,,,Y,N,*med-,,,,no_pie_found
निद्,,,Y,N,*sed-,,*h₃neyd-,,ok
नेद्,,,Y,N,*ned-,N,*neyd-,,ok
शृध्,,,Y,N,*ser-,Y,,,missingtitle
मृध्,,,Y,N,*merdh-,N,*meldʰ-; *mel-dʰeh₁-; *(s)mel-; *melh₂-,,ok
बुध्,,,N,N,*bʰeudʰ-,,*bʰewdʰ-,,ok
बुन्द्,,,Y,N,*bhendh-,Y,,*bud-,ok
वेण्,,,Y,Y,*wenh₁-,N,,,no_sanskrit_section
वेन्,,,Y,N,*gʷʰen-,N,,,missingtitle
खन्,,*k⁽ʷ⁾eh₂-,Y,N,*gʷʰen-,,,*kanH-,ok
चीव्,,,Y,N,*ǵʷih₃w-,,,,missingtitle
चीप्,,,Y,N,*kʷeyp-,Y,,,missingtitle
चाय्,,,Y,Y,*kʷyeh₂-,Y,,,no_sanskrit_section
व्यय्,,,Y,N,*h₁ey-,,,,no_pie_found
दाश्,,,Y,Y,*deh₃-,,*deḱ-,,ok
भेष्,,,Y,N,*bhes-,N,,,no_sanskrit_section
भ्रेष्,bhres-,,Y,N,*bhres-,Y,,,missingtitle
भ्लेष्,bhles-,,Y,N,*bʰleyǵʰ-,Y,,,missingtitle
अस्,"ā̆s-, based on it azd-, azg(h)-",*h₁es-,Y,N,*h₁es-,,*h₁es-,*Has-; -,ok
अष्,"ā̆s-, based on it azd-, azg(h)-",,Y,N,*h₁ed-,N,,,missingtitle
यम्,,,Y,N,*yem-,,*yem-,*yam-,ok
स्पश्,,,Y,N,*speḱ-,,*spéḱs; *speḱ-; *peh₂ḱ-,*spáṭṣ; *spáćš; *(s)paHś-; *(s)paHć-,ok
लष्,las-,,Y,N,*lep-,Y,,,no_sanskrit_section
चष्,,,Y,N,*kʷes-,Y,,,missingtitle
छष्,,,Y,N,*skʷes-,Y,,,missingtitle
झष्,,,Y,N,*gʷʰes-,Y,,,no_pie_found
भ्रक्ष्,,,Y,N,*bhreg-,Y,,,missingtitle
भ्लक्ष्,,,Y,-,,Y,,,missingtitle
भक्ष्,,,Y,N,*bʰegʷ-,,,,no_pie_found
प्लक्ष्,,,Y,-,,Y,,,no_pie_found
दास्,,,Y,Y,*deh₃-,,*des-,*dásyuš,ok
माह्,,,Y,Y,*meh₂-,,,,no_sanskrit_section
गुह्,,,N,Y,*gʷʰeh₂-,,,*gʰawȷ́ʰ-,ok
श्रि,,,Y,N,*ḱley-,,*ḱley-,,ok
भृ,,*bʰer-,N,N,*bʰer-,,*bʰer-,*bʰar-,ok
हृ,,,N,N,*ǵʰer-,,*ǵʰer-,[[*ȷ́ʰárati,ok
धृ,,,N,N,*dʰer-,,*dʰer-,*dʰar-,ok
सूर्क्ष्य्,,,Y,-,,Y,,,missingtitle
नी,"ni-, nei-",,N,N,*h₂ney-,,*neyH-,,ok
धे,,,N,Y,*dʰeh₁-,,*dʰeh₁(y)-,*dʰaH(y)-,ok
ग्लै,,,N,Y,*gleh₂-,N,*gʷelH-,,ok
म्लै,,,N,Y,*melh₁-,Y,,,missingtitle
द्यै,,,N,N,*dyew-,,,,missingtitle
द्रै,,,N,N,*der-,Y,,,missingtitle
ध्रै,,,N,N,*dʰer-,Y,,,missingtitle
ध्यै,,,N,N,*dʰǵʰey-,,*dʰeyh₂-,,ok
रै,,,N,Y,*reh₁-,,*reh₁ís,*raHíš,ok
स्त्यै,,,N,N,*steygʰ-,,*steyh₂-,*stayH-,ok
स्त्यै,,,N,N,*steygʰ-,,*steyh₂-,*stayH-,ok
खै,,,N,Y,*ǵʰeh₂-,Y,,,missingtitle
क्षै,,,N,N,*ǵʰei-,N,*dʰegʷʰ-,,ok
जै,,,N,Y,*ǵenh₁-,,,,missingtitle
सै,sāi-,,N,Y,*seh₁-,,,,missingtitle
कै,,,N,N,*kʷei-,N,,,no_sanskrit_section
गै,,,N,Y,*gʷeiH-,Y,*geH-,,ok
शै,sāi-,,N,N,*ḱei-,Y,,,missingtitle
श्रै,,,N,N,*ḱlei-,Y,,,missingtitle
स्रै,,,N,N,*srey-,N,,,missingtitle
पै,,,N,Y,*peh₂-,,,,no_sanskrit_section
वै,,,N,Y,*weyh₁-,,,*wáy,ok
स्तै,(s)tāi-,,N,N,*steygʰ-,,,,missingtitle
स्नै,,,N,Y,*sneh₁-,N,,,missingtitle
दै,,,N,Y,*deh₃-,,,,no_pie_found
पा,"pā- : pə-, and pā-t- : pə-t-",*peh₃(i̯)-,N,Y,*peh₃-,,*peh₂-; *peh₃-; *peH-; *(s)peh₂-,,ok
घ्रा,,*gʷʰreh₁-,N,Y,*gʰreh₂-,,*gʰʷreh₂,,ok
ध्मा,,,N,Y,*dʰeh₂-,,,,missingtitle
स्था,,*steh₂-,N,Y,*steh₂-,,*steh₂-,*staH-,ok
म्ना,,,N,N,*men-,N,*mneh₂-,*mnaH-,ok
दा,dā-,*deh₃-,N,Y,*deh₃-,,*deh₃-; *deh₂-; *deh₁-,*daH-,ok
ह्वृ,,,N,N,*gʷʰer-,N,,,no_pie_found
स्वृ,,,N,N,*swer-,,,,no_pie_found
स्मृ,,,N,N,*smer-,,*(s)mer-,*smar-,ok
वृ,,,Y,N,*wer-,,*welh₁-; *h₂wer-; *wer-; *welH-,*war-,ok
ह्वृ,,,N,N,*gʷʰer-,N,,,no_pie_found
सृ,,,N,N,*ser-,,*sel-; *ser-,*sar-,ok
ऋ,,,N,N,*h₁er-,,*h₃er-; *h₁er-; *h₁erǵʰ-,,ok
गृ,,,Y,N,*ǵʰer-,,*h₁ger-,*Hgar-,ok
घृ,,,Y,N,*ǵʰer-,,*gʷʰer-; *gʰer-,,ok
ध्वृ,,,N,N,*dʰwer-,N,*dʰwerh₁-,,ok
स्रु,,,N,N,*srew-,,*srew-,,ok
सु,"su-, sū-",,N,N,*h₁sū-,,*sewh₁-,*saw-,ok
श्रु,,*k̑leu̯-,N,N,*ḱlew-,,*ḱlew-,,ok
ध्रु,,,N,N,*dʰreu-,,,,missingtitle
दु,,,N,N,*du-,,*deh₂w-,,ok
द्रु,,,N,N,*drew-,,*drew-,*dóru,ok
जि,,,Y,Y,*ǵʰiH-,,,,no_pie_found
ज्रि,,,Y,Y,*gʷreh₁-,Y,,,missingtitle
जृ,,,N,Y,*ǵerh₂-,,,,missingtitle
स्मि,,,Y,N,*smei-,,*(s)mey-,,ok
गु,,,N,N,*gʷṓws,,,,no_pie_found
गा,,*g⁽ʷ⁾eH(i̯)-,N,Y,*gʷeh₂-,,*gʷeh₂-,*gaH-,ok
उ,,,N,N,*h₂ew-,N,,,no_sanskrit_section
कु,"ku-, kus-",,N,N,*kʷew-,Y,,*kú,ok
खु,,,N,N,*ǵʰew-,Y,,,missingtitle
गु,,,N,N,*gʷṓws,,,,no_pie_found
घु,"g̑hðū-, or g̑hi̯ū-?",,N,N,*ǵʰew-,N,,,missingtitle
ङु,,,N,-,,Y,,,no_pie_found
च्यु,,,Y,N,*kʷey-,N,*kyew-,*čyaw-,ok
ज्यु,,,N,-,,Y,,,missingtitle
छ्यु,,,N,-,,Y,,,missingtitle
प्रु,,,N,N,*plew-,N,,,missingtitle
प्लु,,*pleu̯-,N,N,*plew-,,*plew-,*plu-,ok
क्लु,,,N,N,*klew-,Y,,,missingtitle
रु,,,Y,Y,*rewH-,,*h₃rewH-,,ok
धृ,,,N,N,*dʰer-,,*dʰer-,*dʰar-,ok
मे,,,N,Y,*meh₁-,,,*aȷ́ʰám,ok
दे,"de-, do-",,N,Y,*deh₃-,,,,no_sanskrit_section
श्यै,,,N,N,*ḱyē-,N,,,no_pie_found
प्यै,,,N,N,*pī-,Y,,,no_pie_found
त्रै,,,N,Y,*terh₂-,N,*terh₂-,*traH,ok
पू,,,Y,Y,*pewH-,,*pewH-,,ok
मू,,,Y,Y,*meh₂-,,,,no_pie_found
डी,,,Y,Y,*deh₂-,Y,*deyh₁-,*uẓḍayH-; *udᶻdayH-,ok
तॄ,,,Y,Y,*terh₁-,,,,no_pie_found
गुप्,,,Y,N,*gʷʰobʰ-,,,,no_pie_found
तिज्,,,Y,N,*stiǵʰ-,,*(s)teyg-,,ok
मान्,,,Y,N,*men-,,,*dmáHnas,ok
बध्,,,Y,N,*gʷedʰ-,,,,missingtitle
रभ्,"rabh-, or rebh- : rebh-",,N,N,*h₁rebʰ-,,*lebʰ-,*rabʰ-,ok
लभ्,labh-,,N,N,*h₂legʷʰ-,,*lebʰ-,*labʰ-,ok
स्वञ्ज्,,,N,N,*swengʷʰ-,,*sweng-; *swengʷʰ-,,ok
हद्,,,N,N,*sed-,Y,,,no_pie_found
स्विद्,,,N,N,*sweid-,,*sweyd-,,ok
स्कन्द्,"(s)kand-, (s)kend-",,N,N,*skend-,,*skend-,,ok
यभ्,,,N,N,*h₁yebʰ-,N,*h₃yebʰ-,*Hyabʰ-,ok
नम्,,,N,N,*nem-,,*nem-,,ok
गम्,,*gʷem-,N,N,*gʷem-,,*gʷem-,,ok
सृप्,,,N,N,*srep-,,*serp-,*sarp-,ok
यम्,,,Y,N,*yem-,,*yem-,*yam-,ok
तप्,,,Y,N,*tep-,,*tep-,*tap-,ok
त्यज्,,,N,N,*teh₂gʷ-,,,,missingtitle
सञ्ज्,,,N,N,*sekʷ-,Y,*seg-; *seng-,,ok
दृश्,,*spek̑-,N,N,*derḱ-,,*derḱ-,*darś-; *darć-,ok
दंश्,,*denk̑-,Y,N,*dḱm̥t-,,*denḱ-,*danś-; *danć-,ok
कृष्,,,N,N,*kʷers-,,*kʷels-,*karṣ-; *karš-,ok
दह्,,*dʰegʷʰ-,N,N,*dʰegʷʰ-,,,,no_pie_found
मिह्,,*h₃mei̯gʰ-,N,N,*meiǵʰ-,,*h₃meygʰ-; *h₃meyǵʰ-,*Hmíkš,ok
कित्,,,N,N,*ǵʰeydʰ-,Y,,,missingtitle
दान्,,,Y,Y,*deh₂-,,*déh₃nom; *deh₃-,*dáHnam,ok
शान्,,,Y,Y,*kʷyeh₁-,,,,no_sanskrit_section
पच्,,,N,N,*pekʷ-,,*pekʷ-,*pać-; *pač-,ok
सच्,,,Y,N,*sekʷ-,,,,no_pie_found
भज्,,,Y,N,*bʰʰeǵ-,,*bʰeh₂g-,*bʰag-,ok
रञ्ज्,,,N,N,*reǵ-,,*(s)reg-,,ok
शप्,"sap-, sab-",,N,N,*sep-,N,,,no_pie_found
त्विष्,,,N,N,*tḱēs-,,*tweys-,*twayṣ-; *twayš-,ok
यज्,,,N,N,*yegʷ-,,*h₁yaǵ-,*Hyaȷ́-,ok
वप्,,,N,N,*wep-,,*h₂wep(h₁)-,*(H)wap-,ok
वह्,,,N,N,*weǵʰ-,,*weǵʰ-,*waźʰ-; *waȷ́ʰ-,ok
वस्,,,Y,N,*wes-,,*wos; *wes-; *h₂ews-; *h₂wes-,*was,ok
वे,,,N,N,*weid-,,*h₂ew-,,ok
व्ये,,,N,Y,*h₂weh₁-,N,*weh₁y-,,ok
ह्वे,,,N,Y,*gʷʰeh₂-,,*ǵʰewH-,*źʰway-; *ȷ́ʰway-,ok
वद्,,,Y,N,*wedʰ-,,*h₂wedH-,*Hwad-,ok
श्वि,,,Y,N,*ḱwey-,N,,,no_pie_found
ऋत्,,,Y,N,*h₂ŕ̥t-,,*h₂er-,*Hr̥tás,ok
अद्,,*h₁ed-,N,N,*h₁ed-,,*h₁ed-,*Had-,ok
हन्,,*gʷʰen-,N,N,*gʷʰen-,,*gʷʰen-,*ǰʰan-; *ǰʰā́,ok
द्विष्,,,N,N,*dwis-,,*dweys-; *dwey-,,ok
दुह्,,,N,N,*dʰewǵʰ-,,*dʰewgʰ-,*dʰawgʰ-,ok
दिह्,,,N,N,*dʰeiǵʰ-,,*dʰeyǵʰ-,*dʰayǰʰ-,ok
लिह्,,,N,N,*leiǵʰ-,,*leyǵʰ-,*líṭṣ; *líćš,ok
चक्ष्,,*kʷek̑-,Y,N,*kʷekʷ-,,*kʷeḱ-,,ok
ईर्,,,Y,N,*h₁er-,,,,no_sanskrit_section
ईड्,,,Y,N,*h₁eidʰ-,,*h₂eysd-,*Hayẓḍ-; *Hayžd-,ok
ईश्,,,Y,N,*h₂éǵʰs,,*h₂eyḱ-,,ok
आस्,"ā̆s-, based on it azd-, azg(h)-",*h₁eh₁s-,Y,N,*h₁es-,,*h₁eh₁s-; *h₁óh₃s,*HaHs-; *HáHs,ok
शास्,,,Y,Y,*ḱeh₂-,,*ḱeh₁s-,,ok
वस्,,,Y,N,*wes-,,*wos; *wes-; *h₂ews-; *h₂wes-,*was,ok
कंस्,,,Y,N,*ḱens-,Y,,*kansás,ok
कस्,"k̑as-, k̑as-no-",,Y,N,*kʷes-,N,,,no_sanskrit_section
कश्,"k̑as-, k̑as-no-",,Y,N,*kes-,N,,,no_pie_found
निंस्,,,Y,N,*snē-,Y,,,missingtitle
निञ्ज्,,,Y,N,*neiǵʷ-,Y,,,missingtitle
शिञ्ज्,,,Y,N,*skend-,Y,,,missingtitle
पिञ्ज्,,,Y,N,*peyǵ-,Y,,,missingtitle
पृञ्ज्,,,Y,N,*preḱ-/*plēḱ-,,,,missingtitle
वृज्,,,Y,N,*wreǵ-,,*h₂werg-,,ok
वृञ्ज्,,,Y,N,*wreǵ-,,,,missingtitle
पृच्,,,Y,N,*perḱ-,,,,no_pie_found
सू,"su-, sū-",,Y,N,*sū-,,*sewH-,*sawH-,ok
शी,,,Y,N,*ḱey-,,*ḱey-,,ok
यु,,,Y,N,*yewes-,,,*yaw-,ok
रु,,,Y,Y,*rewH-,,*h₃rewH-,,ok
तु,"tu, tutu",,N,Y,*tewh₂-,,*to-; *-we; *túh₂,*túH,ok
नु,nū̆-,,Y,N,*h₂new-,,*newH-; *new-,*nu,ok
क्षु,,,Y,Y,*kseh₁-,,*ksew-; *skew-,*kṣú; *gʰas-,ok
क्ष्णु,,,Y,N,*ksnu-,N,,,missingtitle
स्नु,,,Y,N,*snā-,,,,missingtitle
ऊर्णु,,,Y,N,*wer-,N,,,missingtitle
द्यु,,,N,N,*dyew-,,,*dyā́wṣ; *dyā́wš; *dyḗws,ok
सु,"su-, sū-",,N,N,*h₁sū-,,*sewh₁-,*saw-,ok
कु,"ku-, kus-",,N,N,*kʷew-,Y,,*kú,ok
स्तु,,,N,N,*stew-,,*stew-; *stewH-; *steh₂-,*staw-,ok
ब्रू,,*mleu̯h₂-,Y,Y,*gʷréh₂-,,*mlewH-,,ok
इ,,*h₁ei̯-,N,N,*sey-,,*h₁ey-,*ís,ok
इ,,*h₁ei̯-,N,N,*sey-,,*h₁ey-,*ís,ok
इ,,*h₁ei̯-,N,N,*sey-,,*h₁ey-,*ís,ok
वी,,,N,Y,*weyh₁-,,,,no_pie_found
या,,,N,Y,*h₁yeh₁-,,*yeh₂-,*yaH-,ok
वा,,,N,Y,*weh₂-,,*-we; *h₂weh₁-; *h₁weh₂-,*-wā; *HwaH-,ok
भा,,,N,Y,*bʰeh₂-,,*bʰeh₂-,*bʰaH-; *bʰáH,ok
स्ना,"snā-, snə-(t-), snāu-, sn-eu-, sn-et-",*(s)neh₂-,N,Y,*sneh₁-,,*(s)neh₂-,*snaH-,ok
श्रा,,,N,N,*kʷley-,,,,missingtitle
द्रा,,,N,N,*drā-,,*dreh₂-; *drem-,,ok
प्सा,,,N,Y,*bʰeh₂-,Y,,,no_pie_found
